"","V1","InChIKey","Name","mechanism_class","vip_max"
"1",1,"VXAHTPDZSOTOPQ-XCVCLJGOSA-N","low score: [6-[2-(3_4-dihydroxyphenyl)-8-hydroxy-4-oxochromen-7-yl]oxy-3_4_5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate","Early_specific",1.9503
"2",2,"QZGOQORSUIQVIR-UIXQMLBBSA-N","low score: 2-[(3R_8aS)-3_4'-dihydroxy-4_4_7_8a-tetramethyl-6'-oxospiro[2_3_4a_5_6_7-hexahydro-1H-naphthalene-8_2'-3_8-dihydrofuro[2_3-e]isoindole]-7'-yl]pentanedioic acid","Early_specific",1.9444
"3",3,"BPXPXWFPHBEWAG-UHFFFAOYSA-N","low score: (NAG)(NAM)-AqKAA[3-NH2-GGGGG];(G-G)-(NAG)(NAM)-AqKAA[3-NH2-GGGGG]","Early_specific",1.9432
"4",4,"VEUUVHDNQCONHH-UHFFFAOYSA-N","4-[({[5-(3-cyclohexyl-1-methyl-1H-pyrazol-5-yl)-1-azabicyclo[2.2.2]octan-2-yl]methyl}amino)methyl]-N,N-dimethylaniline","Early_specific",1.926
"5",5,"NOOCSNJCXJYGPE-UHFFFAOYSA-N","low score: Flunixine","Early_specific",1.888
"6",6,"CAHQQYHQUHYOGU-KLQKCIPISA-N","(3Z_6E)-2_2_6-trimethyl-12-oxabicyclo[8.2.1]trideca-3_6_10(13)-triene-5_11-dione","Early_specific",1.8636
"7",7,"RYVQUCPUCSYNBC-UHFFFAOYSA-N","low score: 5_7-dihydroxy-8-(1-(2-hydroxy-6-methoxyquinolin-3-yl)-3-(4-methylpiperazin-1-yl)-3-oxopropyl)-2-phenyl-4H-chromen-4-one","Early_specific",1.8422
"8",8,"GRQROVWZGGDYSW-ZQMFMVRBSA-N","low score: methyl (4R)-4-((3R_5S_7S_9S_10S_13R_14S_17R)-3_7-dihydroxy-10_13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate","Early_specific",1.8234
"9",9,"PMVCHAWVCIWVLP-UHFFFAOYSA-N","low score: Parishin C","Early_specific",1.8126
"10",10,"VSJKWCGYPAHWDS-FQEVSTJZSA-N","low score: Camptothecin","Early_specific",1.7858
"11",11,"GJPICJJJRGTNOD-UHFFFAOYSA-N","low score: Bosentan","Early_specific",1.7801
"12",12,"UTSXERRKRAEDOV-UHFFFAOYSA-O","low score: Amidosulfobetaine-14","Early_specific",1.7744
